60,1.2,-58,-68,-73,-79,-74,-69,-61,-75,-49,-120,-65
61,2.4,-58,-79,-73,-74,-72,-66,-56,-70,-45,-120,-65
62,3.6,-78,-79,-73,-74,-69,-66,-58,-70,-48,-120,-65
63,4.8,-65,-71,-74,-76,-78,-64,-44,-68,-41,-120,-68
64,6,-65,-69,-74,-64,-67,-60,-45,-68,-38,-120,-73
65,6,-62,-69,-74,-63,-62,-48,-48,-67,-38,-120,-73
66,4.8,-61,-71,-69,-62,-63,-46,-45,-63,-37,-58,-120
67,3.6,-72,-75,-69,-66,-64,-50,-46,-64,-38,-58,-120
68,2.4,-72,-75,-70,-64,-61,-62,-42,-63,-37,-54,-120
69,1.2,-67,-71,-73,-64,-59,-57,-43,-59,-37,-54,-120
70,0,-69,-67,-76,-64,-63,-63,-43,-61,-42,-62,-120
71,0,-58,-62,-72,-77,-72,-63,-56,-61,-50,-53,-120
72,1,-61,-69,-70,-77,-72,-65,-59,-72,-52,-57,-62
73,2,-66,-69,-74,-77,-71,-70,-54,-72,-48,-60,-62
74,3,-72,-77,-74,-71,-69,-68,-50,-63,-53,-60,-62
75,4,-69,-66,-76,-71,-68,-60,-48,-63,-41,-60,-71
76,5,-71,-71,-73,-70,-72,-63,-39,-63,-38,-120,-68
77,6,-65,-76,-73,-71,-64,-61,-37,-62,-38,-120,-68
78,6,-68,-75,-76,-61,-61,-66,-50,-62,-40,-120,-72
79,5.1,-79,-73,-76,-65,-61,-56,-48,-120,-41,-59,-72
80,4,-63,-70,-69,-66,-61,-53,-44,-120,-42,-59,-71
81,3,-67,-68,-69,-60,-58,-63,-47,-120,-37,-53,-76
82,2,-68,-69,-69,-67,-63,-56,-43,-120,-37,-59,-69
83,1,-60,-72,-69,-66,-60,-75,-37,-120,-49,-58,-70
84,0,-75,-72,-69,-68,-66,-69,-41,-120,-45,-58,-69
85,0,-60,-76,-75,-76,-77,-69,-56,-120,-45,-60,-60
86,0.9,-73,-68,-78,-79,-71,-67,-56,-120,-49,-57,-67
87,1.8,-64,-71,-85,-79,-71,-72,-55,-120,-48,-57,-67
88,2.6,-64,-74,-73,-77,-69,-61,-51,-120,-46,-63,-74
89,3.4,-61,-68,-73,-74,-67,-59,-43,-120,-42,-58,-74
90,4.3,-61,-72,-74,-73,-65,-57,-45,-120,-40,-60,-73
91,5.1,-66,-72,-78,-79,-72,-66,-37,-120,-17,-60,-73
92,6,-70,-72,-71,-65,-67,-54,-46,-65,-17,-60,-73
93,6,-64,-72,-72,-59,-66,-69,-49,-65,-37,-60,-71
94,5.1,-63,-77,-72,-65,-57,-44,-47,-61,-38,-61,-71
95,4.3,-63,-66,-72,-62,-65,-57,-47,-66,-37,-56,-73
96,3.4,-70,-65,-67,-65,-65,-60,-45,-66,-36,-62,-73
97,2.6,-65,-68,-79,-63,-60,-65,-43,-72,-36,-56,-64
98,1.7,-67,-69,-78,-68,-61,-63,-37,-59,-53,-60,-73
99,0.9,-75,-70,-78,-70,-65,-72,-44,-60,-53,-57,-64
100,0,-57,-71,-68,-74,-69,-72,-44,-68,-53,-59,-64
101,0,-74,-66,-73,-73,-77,-72,-56,-68,-53,-59,-64
102,0.8,-69,-69,-71,-73,-69,-70,-55,-120,-51,-63,-65
103,1.7,-62,-72,-71,-83,-74,-63,-57,-120,-51,-59,-65
104,2.5,-64,-72,-75,-77,-68,-70,-51,-120,-51,-55,-65
105,3.4,-71,-72,-75,-80,-69,-63,-49,-120,-42,-55,-120
106,4.3,-71,-75,-79,-70,-69,-63,-37,-65,-41,-61,-120
107,5.1,-71,-77,-77,-69,-65,-65,-41,-65,-39,-61,-120
108,6,-69,-77,-75,-64,-68,-68,-52,-66,-17,-60,-120
109,6,-69,-76,-75,-70,-61,-53,-46,-67,-35,-60,-120
110,5.2,-120,-68,-75,-62,-60,-46,-46,-64,-35,-120,-72
111,4.3,-120,-72,-68,-69,-66,-52,-43,-68,-38,-120,-74
112,3.5,-120,-65,-68,-65,-60,-60,-42,-66,-41,-59,-68
113,2.6,-120,-68,-68,-63,-69,-64,-45,-63,-36,-59,-68
114,1.7,-60,-75,-73,-69,-66,-67,-41,-60,-45,-56,-66
115,0.9,-71,-63,-73,-68,-67,-66,-38,-68,-53,-59,-63
116,0,-61,-75,-72,-68,-62,-66,-45,-62,-51,-58,-70
117,0,-58,-68,-73,-75,-62,-65,-55,-74,-51,-55,-70
118,0.7,-58,-68,-73,-87,-120,-74,-53,-72,-46,-55,-59
119,1.5,-68,-68,-73,-71,-120,-66,-57,-71,-50,-55,-66
120,2.2,-64,-71,-120,-68,-120,-62,-52,-67,-44,-56,-66
121,3,-63,-70,-120,-74,-120,-60,-44,-67,-44,-56,-69
122,3.7,-72,-69,-120,-68,-120,-64,-38,-67,-39,-60,-67
123,4.5,-66,-77,-120,-68,-64,-64,-41,-65,-17,-60,-66
124,5.3,-68,-77,-120,-64,-63,-59,-46,-65,-16,-60,-75
125,6,-73,-74,-120,-61,-58,-54,-50,-62,-19,-60,-75
126,6,-60,-75,-120,-63,-61,-57,-45,-58,-35,-60,-75
127,5.3,-67,-72,-120,-65,-61,-53,-43,-67,-35,-120,-72
